season,week,date,time,away_team,home_team,game_url
2010,4,2010-10-03,1:02PM,New York Jets,Buffalo Bills,https://www.pro-football-reference.com/boxscores/201010030buf.htm
2010,4,2010-10-03,1:02PM,Cincinnati Bengals,Cleveland Browns,https://www.pro-football-reference.com/boxscores/201010030cle.htm
2010,4,2010-10-03,1:02PM,Denver Broncos,Tennessee Titans,https://www.pro-football-reference.com/boxscores/201010030oti.htm
2010,4,2010-10-03,1:02PM,Detroit Lions,Green Bay Packers,https://www.pro-football-reference.com/boxscores/201010030gnb.htm
2010,4,2010-10-03,1:02PM,Baltimore Ravens,Pittsburgh Steelers,https://www.pro-football-reference.com/boxscores/201010030pit.htm
2010,4,2010-10-03,1:03PM,San Francisco 49ers,Atlanta Falcons,https://www.pro-football-reference.com/boxscores/201010030atl.htm
2010,4,2010-10-03,1:03PM,Carolina Panthers,New Orleans Saints,https://www.pro-football-reference.com/boxscores/201010030nor.htm
2010,4,2010-10-03,4:05PM,Indianapolis Colts,Jacksonville Jaguars,https://www.pro-football-reference.com/boxscores/201010030jax.htm
2010,4,2010-10-03,4:05PM,Houston Texans,Oakland Raiders,https://www.pro-football-reference.com/boxscores/201010030rai.htm
2010,4,2010-10-03,4:15PM,Arizona Cardinals,San Diego Chargers,https://www.pro-football-reference.com/boxscores/201010030sdg.htm
2010,4,2010-10-03,4:15PM,Washington Redskins,Philadelphia Eagles,https://www.pro-football-reference.com/boxscores/201010030phi.htm
2010,4,2010-10-03,8:31PM,Chicago Bears,New York Giants,https://www.pro-football-reference.com/boxscores/201010030nyg.htm
2010,4,2010-10-04,8:41PM,New England Patriots,Miami Dolphins,https://www.pro-football-reference.com/boxscores/201010040mia.htm
2010,5,2010-10-10,12:56PM,St. Louis Rams,Detroit Lions,https://www.pro-football-reference.com/boxscores/201010100det.htm
2010,5,2010-10-10,1:02PM,Jacksonville Jaguars,Buffalo Bills,https://www.pro-football-reference.com/boxscores/201010100buf.htm
2010,5,2010-10-10,1:02PM,Denver Broncos,Baltimore Ravens,https://www.pro-football-reference.com/boxscores/201010100rav.htm
2010,5,2010-10-10,1:02PM,Green Bay Packers,Washington Redskins,https://www.pro-football-reference.com/boxscores/201010100was.htm
2010,5,2010-10-10,1:03PM,Atlanta Falcons,Cleveland Browns,https://www.pro-football-reference.com/boxscores/201010100cle.htm
2010,5,2010-10-10,1:03PM,Chicago Bears,Carolina Panthers,https://www.pro-football-reference.com/boxscores/201010100car.htm
2010,5,2010-10-10,1:03PM,Tampa Bay Buccaneers,Cincinnati Bengals,https://www.pro-football-reference.com/boxscores/201010100cin.htm
2010,5,2010-10-10,1:03PM,Kansas City Chiefs,Indianapolis Colts,https://www.pro-football-reference.com/boxscores/201010100clt.htm
2010,5,2010-10-10,1:03PM,New York Giants,Houston Texans,https://www.pro-football-reference.com/boxscores/201010100htx.htm
2010,5,2010-10-10,4:05PM,New Orleans Saints,Arizona Cardinals,https://www.pro-football-reference.com/boxscores/201010100crd.htm
2010,5,2010-10-10,4:15PM,San Diego Chargers,Oakland Raiders,https://www.pro-football-reference.com/boxscores/201010100rai.htm
2010,5,2010-10-10,4:16PM,Tennessee Titans,Dallas Cowboys,https://www.pro-football-reference.com/boxscores/201010100dal.htm
2010,5,2010-10-10,8:30PM,Philadelphia Eagles,San Francisco 49ers,https://www.pro-football-reference.com/boxscores/201010100sfo.htm
